timestamp,energy,time,source,destination,protocol,length,info
1603489320879,0.0,0,['0.0.0.0'],['255.255.255.255'],['DHCP'],[412],['DHCP Discover - Transaction ID 0x255a38b8']
1603489321859,-0.0,980,"['0.0.0.0', 'Tp-LinkT_81:9e:53']","['255.255.255.255', 'Broadcast']","['DHCP', 'ARP']","[424, 60]","['DHCP Request  - Transaction ID 0x255a38b8', 'Who has 172.31.1.15? (ARP Probe)']"
1603489322845,-0.0,1966,[],[],[],[],[]
1603489323827,-0.0,2948,[],[],[],[],[]
1603489324828,0.0,3949,[],[],[],[],[]
1603489325808,0.01,4929,[],[],[],[],[]
1603489326790,0.02,5911,[],[],[],[],[]
1603489327768,0.02,6889,[],[],[],[],[]
1603489328754,0.09,7875,[],[],[],[],[]
1603489329738,0.19,8859,[],[],[],[],[]
