timestamp,energy,time,source,destination,protocol,length,info
1603301922895,0.0,0,"['172.31.1.15', '8.8.8.8']","['8.8.8.8', '172.31.1.15']","['DNS', 'DNS']","[71, 135]","['Standard query 0xb6d2 A tp-link.com', 'Standard query response 0xb6d2 A tp-link.com A 52.84.53.27 A 52.84.53.81 A 52.84.53.20 A 52.84.53.30']"
1603301923876,0.0,981,[],[],[],[],[]
1603301924860,0.06,1965,[],[],[],[],[]
1603301925843,0.11,2948,[],[],[],[],[]
1603301926830,0.12,3935,[],[],[],[],[]
1603301927813,0.14,4918,"['Tp-LinkT_81:9e:53', 'PcsCompu_73:1d:1d', 'PcsCompu_73:1d:1d', 'Tp-LinkT_81:9e:53']","['PcsCompu_73:1d:1d', 'Tp-LinkT_81:9e:53', 'Tp-LinkT_81:9e:53', 'PcsCompu_73:1d:1d']","['ARP', 'ARP', 'ARP', 'ARP']","[60, 42, 42, 60]","['Who has 172.31.1.1? Tell 172.31.1.15', '172.31.1.1 is at 08:00:27:73:1d:1d', 'Who has 172.31.1.15? Tell 172.31.1.1', '172.31.1.15 is at d8:07:b6:81:9e:53']"
1603301928800,0.13,5905,[],[],[],[],[]
1603301929785,0.13,6890,[],[],[],[],[]
1603301930770,0.14,7875,[],[],[],[],[]
1603301931753,0.15,8858,[],[],[],[],[]
1603301932740,0.14,9845,"['172.31.1.15', '8.8.8.8']","['8.8.8.8', '172.31.1.15']","['DNS', 'DNS']","[70, 86]","['Standard query 0x0060 A google.com', 'Standard query response 0x0060 A google.com A 172.217.164.238']"
1603301933728,0.13,10833,[],[],[],[],[]
1603301934712,0.14,11817,[],[],[],[],[]
1603301935693,0.15,12798,[],[],[],[],[]
1603301936681,0.15,13786,[],[],[],[],[]
1603301937664,0.15,14769,[],[],[],[],[]
1603301938650,0.15,15755,[],[],[],[],[]
1603301939634,0.15,16739,[],[],[],[],[]
1603301940621,0.12,17726,[],[],[],[],[]
1603301941603,0.09,18708,[],[],[],[],[]
1603301942590,0.1,19695,[],[],[],[],[]
1603301943574,0.1,20679,[],[],[],[],[]
1603301944560,0.15,21665,[],[],[],[],[]
1603301945545,0.17,22650,[],[],[],[],[]
1603301946531,0.16,23636,[],[],[],[],[]
1603301947514,0.16,24619,[],[],[],[],[]
1603301948501,0.14,25606,[],[],[],[],[]
1603301949484,0.14,26589,[],[],[],[],[]
1603301950471,0.14,27576,[],[],[],[],[]
