"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","0.0.0.0","255.255.255.255","DHCP","412","DHCP Discover - Transaction ID 0x255a38b8"
"2","1.003868196","0.0.0.0","255.255.255.255","DHCP","424","DHCP Request  - Transaction ID 0x255a38b8"
"3","1.006823729","Tp-LinkT_81:9e:53","Broadcast","ARP","60","Who has 172.31.1.15? (ARP Probe)"
"4","10.472554472","Tp-LinkT_81:9e:53","Broadcast","ARP","60","Who has 172.31.1.1? Tell 172.31.1.15"
"5","10.472572428","PcsCompu_73:1d:1d","Tp-LinkT_81:9e:53","ARP","42","172.31.1.1 is at 08:00:27:73:1d:1d"
"6","10.472804891","172.31.1.15","8.8.8.8","DNS","89","Standard query 0x0008 A n-deventry-gw.tplinkcloud.com"
"7","10.495108557","8.8.8.8","172.31.1.15","DNS","151","Standard query response 0x0008 A n-deventry-gw.tplinkcloud.com CNAME n-use1-deventry.tplinkcloud.com A 3.220.118.245 A 54.160.34.61"
"8","10.495783596","172.31.1.15","3.220.118.245","TCP","74","35557  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=4294945402 TSecr=0 WS=64"
"9","10.540837700","3.220.118.245","172.31.1.15","TCP","74","443  >  35557 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM=1 TSval=2549062012 TSecr=4294945402 WS=256"
"10","10.541209760","172.31.1.15","3.220.118.245","TCP","66","35557  >  443 [ACK] Seq=1 Ack=1 Win=14656 Len=0 TSval=4294945406 TSecr=2549062012"
"11","10.593469478","172.31.1.15","3.220.118.245","TLSv1.2","248","Client Hello"
"12","10.639019295","3.220.118.245","172.31.1.15","TCP","66","443  >  35557 [ACK] Seq=1 Ack=183 Win=28160 Len=0 TSval=2549062110 TSecr=4294945412"
"13","10.639618935","3.220.118.245","172.31.1.15","TLSv1.2","1506","Server Hello"
"14","10.639751165","3.220.118.245","172.31.1.15","TLSv1.2","879","Certificate, Server Hello Done"
"15","10.639948037","172.31.1.15","3.220.118.245","TCP","66","35557  >  443 [ACK] Seq=183 Ack=1441 Win=17536 Len=0 TSval=4294945416 TSecr=2549062110"
"16","10.639962750","172.31.1.15","3.220.118.245","TCP","66","35557  >  443 [ACK] Seq=183 Ack=2254 Win=20416 Len=0 TSval=4294945416 TSecr=2549062110"
"17","10.673098508","172.31.1.15","3.220.118.245","TLSv1.2","384","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"18","10.720777926","3.220.118.245","172.31.1.15","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"19","10.721128343","172.31.1.15","3.220.118.245","TCP","66","35557  >  443 [ACK] Seq=501 Ack=2305 Win=20416 Len=0 TSval=4294945424 TSecr=2549062191"
"20","11.498260722","172.31.1.15","8.8.8.8","DNS","73","Standard query 0x0002 A time.nist.gov"
"21","11.511928905","8.8.8.8","172.31.1.15","DNS","112","Standard query response 0x0002 A time.nist.gov CNAME ntp1.glb.nist.gov A 132.163.96.6"
"22","11.512640559","172.31.1.15","8.8.8.8","DNS","76","Standard query 0x0003 A time-nw.nist.gov"
"23","11.525850771","8.8.8.8","172.31.1.15","DNS","92","Standard query response 0x0003 A time-nw.nist.gov A 131.107.13.100"
"24","11.526525334","172.31.1.15","8.8.8.8","DNS","76","Standard query 0x0004 A time.windows.com"
"25","11.556644350","8.8.8.8","172.31.1.15","DNS","131","Standard query response 0x0004 A time.windows.com CNAME time.microsoft.akadns.net A 13.86.101.172"
"26","11.557530864","172.31.1.15","8.8.8.8","DNS","75","Standard query 0x0005 A time-a.nist.gov"
"27","11.571125337","8.8.8.8","172.31.1.15","DNS","114","Standard query response 0x0005 A time-a.nist.gov CNAME time-a-g.nist.gov A 129.6.15.28"
"28","11.571840096","172.31.1.15","8.8.8.8","DNS","75","Standard query 0x0006 A time-b.nist.gov"
"29","11.585143178","8.8.8.8","172.31.1.15","DNS","114","Standard query response 0x0006 A time-b.nist.gov CNAME time-b-g.nist.gov A 129.6.15.29"
"30","11.587562160","172.31.1.15","132.163.96.6","NTP","90","NTP Version 3, client"
"31","11.648423303","132.163.96.6","172.31.1.15","NTP","90","NTP Version 3, server"
"32","12.490646962","172.31.1.15","3.220.118.245","TLSv1.2","99","Application Data"
"33","12.577823644","3.220.118.245","172.31.1.15","TCP","66","443  >  35557 [ACK] Seq=2305 Ack=534 Win=29184 Len=0 TSval=2549064049 TSecr=4294945601"
"34","12.578169606","172.31.1.15","3.220.118.245","TLSv1.2","560","Application Data"
"35","12.623796843","3.220.118.245","172.31.1.15","TCP","66","443  >  35557 [ACK] Seq=2305 Ack=1028 Win=30208 Len=0 TSval=2549064095 TSecr=4294945610"
"36","12.624776941","3.220.118.245","172.31.1.15","TLSv1.2","221","Application Data"
"37","12.625072309","172.31.1.15","3.220.118.245","TCP","66","35557  >  443 [ACK] Seq=1028 Ack=2460 Win=23296 Len=0 TSval=4294945615 TSecr=2549064096"
"38","12.652389550","172.31.1.15","3.220.118.245","TLSv1.2","97","Encrypted Alert"
"39","12.653007287","172.31.1.15","3.220.118.245","TCP","66","35557  >  443 [FIN, ACK] Seq=1059 Ack=2460 Win=23296 Len=0 TSval=4294945618 TSecr=2549064096"
"40","12.699310613","3.220.118.245","172.31.1.15","TLSv1.2","97","Encrypted Alert"
"41","12.699432395","3.220.118.245","172.31.1.15","TCP","66","443  >  35557 [FIN, ACK] Seq=2491 Ack=1060 Win=30208 Len=0 TSval=2549064170 TSecr=4294945618"
"42","12.699644134","172.31.1.15","3.220.118.245","TCP","60","35557  >  443 [RST] Seq=1060 Win=0 Len=0"
"43","12.699690139","172.31.1.15","3.220.118.245","TCP","60","35557  >  443 [RST] Seq=1060 Win=0 Len=0"
"44","13.687412972","172.31.1.15","8.8.8.8","DNS","85","Standard query 0x0009 A n-devs-gw.tplinkcloud.com"
"45","13.709447226","8.8.8.8","172.31.1.15","DNS","226","Standard query response 0x0009 A n-devs-gw.tplinkcloud.com CNAME n-use1-devs-gw.tplinkcloud.com A 34.232.245.151 A 3.211.135.40 A 3.218.171.123 A 34.199.32.86 A 34.226.13.90 A 3.210.29.149 A 52.45.233.103"
"46","13.711632402","172.31.1.15","34.232.245.151","TCP","74","52648  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=4294945723 TSecr=0 WS=64"
"47","13.756944013","34.232.245.151","172.31.1.15","TCP","74","443  >  52648 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM=1 TSval=663827046 TSecr=4294945723 WS=256"
"48","13.757296744","172.31.1.15","34.232.245.151","TCP","66","52648  >  443 [ACK] Seq=1 Ack=1 Win=14656 Len=0 TSval=4294945728 TSecr=663827046"
"49","13.758985623","172.31.1.15","34.232.245.151","TLSv1.2","248","Client Hello"
