"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.31.1.15","8.8.8.8","DNS","71","Standard query 0xb6d2 A tp-link.com"
"2","0.020682284","8.8.8.8","172.31.1.15","DNS","135","Standard query response 0xb6d2 A tp-link.com A 52.84.53.27 A 52.84.53.81 A 52.84.53.20 A 52.84.53.30"
"3","5.002782318","Tp-LinkT_81:9e:53","PcsCompu_73:1d:1d","ARP","60","Who has 172.31.1.1? Tell 172.31.1.15"
"4","5.002809955","PcsCompu_73:1d:1d","Tp-LinkT_81:9e:53","ARP","42","172.31.1.1 is at 08:00:27:73:1d:1d"
"5","5.053399139","PcsCompu_73:1d:1d","Tp-LinkT_81:9e:53","ARP","42","Who has 172.31.1.15? Tell 172.31.1.1"
"6","5.053887573","Tp-LinkT_81:9e:53","PcsCompu_73:1d:1d","ARP","60","172.31.1.15 is at d8:07:b6:81:9e:53"
"7","10.019162690","172.31.1.15","8.8.8.8","DNS","70","Standard query 0x0060 A google.com"
"8","10.039628218","8.8.8.8","172.31.1.15","DNS","86","Standard query response 0x0060 A google.com A 172.217.164.238"
"9","126.694654438","0.0.0.0","255.255.255.255","DHCP","412","DHCP Discover - Transaction ID 0x171adade"
"10","126.694912784","172.31.1.1","172.31.1.15","ICMP","62","Echo (ping) request  id=0x6ece, seq=0/0, ttl=64 (no response found!)"
"11","127.697688996","0.0.0.0","255.255.255.255","DHCP","424","DHCP Request  - Transaction ID 0x171adade"
"12","127.702598174","Tp-LinkT_81:9e:53","Broadcast","ARP","60","Who has 172.31.1.15? (ARP Probe)"
"13","131.773385434","PcsCompu_73:1d:1d","Tp-LinkT_81:9e:53","ARP","42","Who has 172.31.1.15? Tell 172.31.1.1"
"14","131.773960452","Tp-LinkT_81:9e:53","PcsCompu_73:1d:1d","ARP","60","172.31.1.15 is at d8:07:b6:81:9e:53"
"15","139.810670704","172.31.1.15","8.8.8.8","DNS","89","Standard query 0x0008 A n-deventry-gw.tplinkcloud.com"
"16","139.832504656","8.8.8.8","172.31.1.15","DNS","151","Standard query response 0x0008 A n-deventry-gw.tplinkcloud.com CNAME n-use1-deventry.tplinkcloud.com A 3.220.118.245 A 50.19.139.238"
"17","139.833127050","172.31.1.15","3.220.118.245","TCP","74","42350  >  443 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=4294945451 TSecr=0 WS=64"
"18","139.878259209","3.220.118.245","172.31.1.15","TCP","74","443  >  42350 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM=1 TSval=2979464643 TSecr=4294945451 WS=256"
"19","139.878560412","172.31.1.15","3.220.118.245","TCP","66","42350  >  443 [ACK] Seq=1 Ack=1 Win=14656 Len=0 TSval=4294945455 TSecr=2979464643"
"20","139.907974813","172.31.1.15","3.220.118.245","TLSv1.2","248","Client Hello"
"21","139.952706896","3.220.118.245","172.31.1.15","TCP","66","443  >  42350 [ACK] Seq=1 Ack=183 Win=28160 Len=0 TSval=2979464717 TSecr=4294945458"
"22","139.954080459","3.220.118.245","172.31.1.15","TLSv1.2","1506","Server Hello"
"23","139.954270440","3.220.118.245","172.31.1.15","TLSv1.2","879","Certificate, Server Hello Done"
"24","139.954556110","172.31.1.15","3.220.118.245","TCP","66","42350  >  443 [ACK] Seq=183 Ack=1441 Win=17536 Len=0 TSval=4294945463 TSecr=2979464717"
"25","139.954639564","172.31.1.15","3.220.118.245","TCP","66","42350  >  443 [ACK] Seq=183 Ack=2254 Win=20416 Len=0 TSval=4294945463 TSecr=2979464717"
"26","139.965850705","172.31.1.15","3.220.118.245","TLSv1.2","384","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"27","140.013235096","3.220.118.245","172.31.1.15","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"28","140.051609392","172.31.1.15","3.220.118.245","TCP","66","42350  >  443 [ACK] Seq=501 Ack=2305 Win=20416 Len=0 TSval=4294945473 TSecr=2979464778"
"29","140.910571992","172.31.1.15","8.8.8.8","DNS","73","Standard query 0x0002 A time.nist.gov"
"30","140.923860546","8.8.8.8","172.31.1.15","DNS","112","Standard query response 0x0002 A time.nist.gov CNAME ntp1.glb.nist.gov A 132.163.97.4"
"31","140.924886411","172.31.1.15","8.8.8.8","DNS","76","Standard query 0x0003 A time-nw.nist.gov"
"32","140.938109742","8.8.8.8","172.31.1.15","DNS","92","Standard query response 0x0003 A time-nw.nist.gov A 131.107.13.100"
"33","140.939087522","172.31.1.15","8.8.8.8","DNS","76","Standard query 0x0004 A time.windows.com"
"34","140.949263175","172.31.1.15","3.220.118.245","TLSv1.2","99","Application Data"
"35","141.036241334","3.220.118.245","172.31.1.15","TCP","66","443  >  42350 [ACK] Seq=2305 Ack=534 Win=29184 Len=0 TSval=2979465801 TSecr=4294945562"
"36","141.036928740","172.31.1.15","3.220.118.245","TLSv1.2","560","Application Data"
"37","141.042325554","8.8.8.8","172.31.1.15","DNS","131","Standard query response 0x0004 A time.windows.com CNAME time.microsoft.akadns.net A 13.86.101.172"
"38","141.047255291","172.31.1.15","8.8.8.8","DNS","75","Standard query 0x0005 A time-a.nist.gov"
"39","141.061334105","8.8.8.8","172.31.1.15","DNS","114","Standard query response 0x0005 A time-a.nist.gov CNAME time-a-g.nist.gov A 129.6.15.28"
"40","141.062323551","172.31.1.15","8.8.8.8","DNS","75","Standard query 0x0006 A time-b.nist.gov"
"41","141.075597679","8.8.8.8","172.31.1.15","DNS","114","Standard query response 0x0006 A time-b.nist.gov CNAME time-b-g.nist.gov A 129.6.15.29"
"42","141.076542723","172.31.1.15","132.163.97.4","NTP","90","NTP Version 3, client"
"43","141.082987447","3.220.118.245","172.31.1.15","TCP","66","443  >  42350 [ACK] Seq=2305 Ack=1028 Win=30208 Len=0 TSval=2979465847 TSecr=4294945571"
"44","141.083989165","3.220.118.245","172.31.1.15","TLSv1.2","221","Application Data"
"45","141.084586964","172.31.1.15","3.220.118.245","TCP","66","42350  >  443 [ACK] Seq=1028 Ack=2460 Win=23296 Len=0 TSval=4294945576 TSecr=2979465848"
"46","141.092625933","172.31.1.15","3.220.118.245","TLSv1.2","97","Encrypted Alert"
"47","141.093340522","172.31.1.15","3.220.118.245","TCP","66","42350  >  443 [FIN, ACK] Seq=1059 Ack=2460 Win=23296 Len=0 TSval=4294945577 TSecr=2979465848"
"48","141.136674563","132.163.97.4","172.31.1.15","NTP","90","NTP Version 3, server"
"49","141.138332802","3.220.118.245","172.31.1.15","TLSv1.2","97","Encrypted Alert"
