energy(t-2),protocol(t-2),packet(t-2),unique_sour(t-2),unique_dest(t-2),median_len(t-2),mean_len(t-2),max_len(t-2),min_len(t-2),energy(t-1),protocol(t-1),packet(t-1),unique_sour(t-1),unique_dest(t-1),median_len(t-1),mean_len(t-1),max_len(t-1),min_len(t-1),energy(t),protocol(t),packet(t),unique_sour(t),unique_dest(t),median_len(t),mean_len(t),max_len(t),min_len(t),device
0.0,['DHCP'],1.0,1.0,1.0,412.0,412.0,412.0,412.0,-0.0,"['DHCP', 'ARP']",2.0,2.0,2.0,242.0,242.0,424.0,60.0,-0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
-0.0,"['DHCP', 'ARP']",2.0,2.0,2.0,242.0,242.0,424.0,60.0,-0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,-0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
-0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,-0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
-0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.01,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
0.0,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.01,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.02,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
0.01,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.02,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.02,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
0.02,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.02,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.09,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
0.02,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.09,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.19,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,1
0.09,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.19,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.17,"['ARP', 'ARP', 'DNS', 'DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP']",16.0,5.0,5.0,74.0,247.125,1506.0,42.0,1
0.19,[],0.0,0.0,0.0,242.0,242.0,424.0,60.0,0.17,"['ARP', 'ARP', 'DNS', 'DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP']",16.0,5.0,5.0,74.0,247.125,1506.0,42.0,0.16,"['DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'NTP', 'NTP']",12.0,3.0,3.0,90.0,93.16666666666667,131.0,73.0,1
0.17,"['ARP', 'ARP', 'DNS', 'DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP']",16.0,5.0,5.0,74.0,247.125,1506.0,42.0,0.16,"['DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'NTP', 'NTP']",12.0,3.0,3.0,90.0,93.16666666666667,131.0,73.0,0.16,"['TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TCP', 'TCP']",12.0,2.0,2.0,66.0,127.0,560.0,60.0,1
0.16,"['DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'DNS', 'NTP', 'NTP']",12.0,3.0,3.0,90.0,93.16666666666667,131.0,73.0,0.16,"['TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TCP', 'TCP']",12.0,2.0,2.0,66.0,127.0,560.0,60.0,0.17,"['DNS', 'DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2']",6.0,3.0,3.0,79.5,128.83333333333334,248.0,66.0,1
0.16,"['TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TLSv1.2', 'TCP', 'TCP', 'TCP']",12.0,2.0,2.0,66.0,127.0,560.0,60.0,0.17,"['DNS', 'DNS', 'TCP', 'TCP', 'TCP', 'TLSv1.2']",6.0,3.0,3.0,79.5,128.83333333333334,248.0,66.0,0.16,"['TCP', 'TLSv1.2', 'TLSv1.2', 'TCP', 'TCP', 'TLSv1.2', 'TLSv1.2', 'TCP']",8.0,2.0,2.0,91.5,393.75,1506.0,66.0,1
