energy(t-2),protocol(t-2),packet(t-2),unique_sour(t-2),unique_dest(t-2),median_len(t-2),mean_len(t-2),max_len(t-2),min_len(t-2),energy(t-1),protocol(t-1),packet(t-1),unique_sour(t-1),unique_dest(t-1),median_len(t-1),mean_len(t-1),max_len(t-1),min_len(t-1),energy(t),protocol(t),packet(t),unique_sour(t),unique_dest(t),median_len(t),mean_len(t),max_len(t),min_len(t),device
0.0,"['DNS', 'DNS']",2.0,2.0,2.0,103.0,103.0,135.0,71.0,0.0,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.06,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,1
0.0,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.06,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.11,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,1
0.06,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.11,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.12,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,1
0.11,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.12,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.14,"['ARP', 'ARP', 'ARP', 'ARP']",4.0,2.0,2.0,51.0,51.0,60.0,42.0,1
0.12,[],0.0,0.0,0.0,103.0,103.0,135.0,71.0,0.14,"['ARP', 'ARP', 'ARP', 'ARP']",4.0,2.0,2.0,51.0,51.0,60.0,42.0,0.13,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,1
0.14,"['ARP', 'ARP', 'ARP', 'ARP']",4.0,2.0,2.0,51.0,51.0,60.0,42.0,0.13,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.13,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,1
0.13,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.13,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.14,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,1
0.13,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.14,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.15,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,1
0.14,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.15,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.14,"['DNS', 'DNS']",2.0,2.0,2.0,78.0,78.0,86.0,70.0,1
0.15,[],0.0,0.0,0.0,51.0,51.0,60.0,42.0,0.14,"['DNS', 'DNS']",2.0,2.0,2.0,78.0,78.0,86.0,70.0,0.13,[],0.0,0.0,0.0,78.0,78.0,86.0,70.0,1
